company_permalink,company_name,homepage_url,company_category_list,funding_total_usd,status,company_country_code,company_city,funding_rounds,founded_at,first_funding_at,last_funding_at,time_before_first_fund,employee_count,number_of_technologies,annual_rev
/organization/medialink,MediaLink,http://www.medialink.com,Advertising|Business Services|Consulting|Content|Entertainment|Investment Management|Sales and Marketing|Social Media|Technology,3350000.0,operating,USA,New York,1,2004-01-01 00:00:00.000000000,1994-12-30,1994-12-30,-3289 days +00:00:00,280,15,76200000.0
/organization/medialink-2,MediaLink,http://www.medialink.co,Blogging Platforms|Journalism|Marketplaces|Public Relations,0.0,operating,SGP,Singapore,1,2014-04-04 00:00:00.000000000,2014-04-03,2014-04-03,-1 days +00:00:00,280,15,76200000.0
/organization/medialive,Medialive,http://www.medialive.com,Software,4200000.0,acquired,FRA,Montrouge,1,2000-01-01 00:00:00.000000000,2005-03-29,2005-03-29,1914 days 00:00:00,22,0,7000000.0
/organization/mediamachines,Media Machines,http://mediamachines.wordpress.com,Curated Web,9400000.0,operating,USA,San Francisco,1,2000-01-01 00:00:00.000000000,2007-08-31,2007-08-31,2799 days 00:00:00,0,1,
/organization/mediamap-inc,"MediaMap, Inc.",http://www.MediaMap.com,Public Relations,11500000.0,acquired,USA,Watertown,1,1996-05-08 20:46:43.240577680,2000-02-01,2000-02-01,1363 days 03:13:16.759422320,0,0,
/organization/mediamath,MediaMath,http://www.mediamath.com,Advertising|Internet|Technology,207500000.0,operating,USA,New York,6,2007-01-01 00:00:00.000000000,2008-03-05,2014-06-03,429 days 00:00:00,430,15,810000000.0
/organization/mediameeting,Mediameeting,http://www.mediameeting.fr,Broadcasting|Business Services|Internet Radio Market|Media,1420676.0,closed,FRA,missing,1,2004-12-14 20:46:43.240577680,2008-09-08,2008-09-08,1363 days 03:13:16.759422320,140,17,11600000.0
/organization/mediamind,DGIT,http://www.mediamind.com,Advertising,38000000.0,operating,USA,New York,2,1999-01-01 00:00:00.000000000,2003-12-01,2007-03-21,1795 days 00:00:00,0,0,
/organization/mediamind-2,Mediamind,http://www.sizmek.com,Advertising|Digital Media,38000000.0,acquired,USA,New York,2,2000-03-07 20:46:43.240577680,2003-12-01,2007-03-01,1363 days 03:13:16.759422320,230,8,170000000.0
/organization/median-technologies,Median Technologies,http://mediantechnologies.com,Pharmaceuticals,32383972.0,operating,FRA,Valbonne,5,2002-01-01 00:00:00.000000000,2004-11-01,2013-12-01,1035 days 00:00:00,190,14,9358000.0
