company_permalink,company_name,homepage_url,company_category_list,funding_total_usd,status,company_country_code,company_city,funding_rounds,founded_at,first_funding_at,last_funding_at,time_before_first_fund,employee_count,country,number_of_technologies,revenue
/organization/123contactform,123ContactForm,http://www.123contactform.com,E-Commerce|SaaS,1000000.0,operating,ROM,Timisoara,2,2008-01-01 00:00:00.000000000,2010-01-01,2015-06-16,731 days 00:00:00,-,-,0,-
/organization/123feng-com,123Feng.Com,http://123feng.com/,missing,13000000.0,operating,CHN,Hangzhou,1,2014-01-01 00:00:00.000000000,2015-10-27,2015-10-27,664 days 00:00:00,210,China,1,2000000
/organization/123greetings,123Greetings,http://www.123greetings.com/,Internet,5400000.0,operating,missing,missing,1,1997-05-01 00:00:00.000000000,2015-07-23,2015-07-23,6657 days 00:00:00,250,United States,23,10000000
/organization/123people,yelster digital gmbh (former 123people),http://yelsterdigital.com,Local Search|Software|Web Design,0.0,acquired,AUT,Vienna,1,2007-01-01 00:00:00.000000000,2008-01-01,2008-01-01,365 days 00:00:00,21,"Austria"",""owned_by_organization_id"":""556cde047369641217653d00",8,-
/organization/1248,1248,http://1248.io/index.php/?page=index,Software,378812.0,operating,GBR,Cambridge,1,2013-01-01 00:00:00.000000000,2014-03-18,2014-03-18,441 days 00:00:00,-,-,0,-
/organization/128-technology,128 Technology,http://www.128technology.com/,Service Providers|Technology,11999347.0,operating,USA,Burlington,1,2014-07-07 00:00:00.000000000,2014-12-16,2014-12-16,162 days 00:00:00,68,United States,20,67500000
/organization/12bis,12Bis,http://12bis.com,Publishing|Services,130636.0,operating,FRA,Paris,1,2008-01-01 00:00:00.000000000,2012-03-15,2012-03-15,1535 days 00:00:00,0,France,14,-
/organization/12cm,12cm,http://www.echoss.co.kr,Mobile|Service Providers|Software,1809056.0,operating,KOR,Bundangdong,1,2011-03-18 20:46:43.240577680,2014-12-11,2014-12-11,1363 days 03:13:16.759422320,0,-,5,-
/organization/12return,12Return,http://www.12return.com,Consumer Goods|Retail|SaaS|Software,619494.0,operating,NLD,Gorinchem,1,2010-12-10 00:00:00.000000000,2012-06-01,2012-06-01,539 days 00:00:00,4,Netherlands,15,-
/organization/12society,12Society,http://www.12Society.com,E-Commerce,0.0,acquired,USA,West Hollywood,1,2012-01-01 00:00:00.000000000,2012-04-05,2012-04-05,95 days 00:00:00,10,United States,6,1400000
/organization/1366-technologies,1366 Technologies,http://www.1366tech.com,Manufacturing,71450000.0,operating,USA,Bedford,9,2007-01-01 00:00:00.000000000,2008-03-27,2015-04-09,451 days 00:00:00,-,-,0,-
/organization/139shop,139shop,http://www.139shop.com,E-Commerce,0.0,operating,CHN,missing,1,2003-05-09 20:46:43.240577680,2007-02-01,2007-02-01,1363 days 03:13:16.759422320,0,China,0,-
/organization/13th-lab,13th Lab,http://13thlab.com,Augmented Reality|Computer Vision|Games|iPad|Mobile,700000.0,acquired,SWE,Stockholm,1,2010-01-01 00:00:00.000000000,2012-06-15,2012-06-15,896 days 00:00:00,2,Sweden,5,2500000
/organization/140-proof,140 Proof,http://140proof.com,Advertising|Big Data Analytics|Interest Graph,5500000.0,operating,USA,San Francisco,2,2010-01-11 00:00:00.000000000,2009-07-01,2011-04-28,-194 days +00:00:00,8,"United States"",""owned_by_organization_id"":""5eeb3d93a32a24008c3dbcbf",24,-
/organization/140fire,140Fire,http://140fire.com,Advertising|Entertainment|Real Time|Social Media|Sports|Video,500000.0,operating,USA,Santa Monica,1,2010-01-01 00:00:00.000000000,2010-05-05,2010-05-05,124 days 00:00:00,0,United States,0,7000000
/organization/1417,1417,http://1417power.com,Finance|Venture Capital,0.0,operating,USA,Brentwood,1,2012-01-12 00:00:00.000000000,2015-01-21,2015-01-21,1105 days 00:00:00,0,United States,4,-
/organization/15fen,15Fen,http://www.15fen.com/,missing,0.0,operating,CHN,Guangzhou,1,2010-03-22 20:46:43.240577680,2013-12-15,2013-12-15,1363 days 03:13:16.759422320,22,China,4,2000000
/organization/15five,15Five,http://15five.com,Software,3400000.0,operating,USA,San Francisco,3,2011-05-01 00:00:00.000000000,2012-01-01,2014-10-02,245 days 00:00:00,320,United States,31,30000000
/organization/15minutesnow,15MinutesNOW,http://15minutesnow.com,Games,200000.0,operating,missing,missing,1,2011-04-19 00:00:00.000000000,2011-05-10,2011-05-10,21 days 00:00:00,2,United States,3,-
/organization/15shopstop,15ShopStop,http://15shopstop.com,Fashion,0.0,operating,USA,Los Angeles,1,2014-11-17 00:00:00.000000000,2014-11-17,2014-11-17,0 days 00:00:00,5,United States,0,-
/organization/169-st,169 ST.,http://www.junebugreview.com,Entertainment|Games,50000.0,closed,USA,Lake Mary,1,2009-05-15 00:00:00.000000000,2009-06-01,2009-06-01,17 days 00:00:00,0,United States,3,-
/organization/16lab-inc-,16Lab Inc.,http://16lab.net,Design|Development Platforms|Wearables,0.0,operating,JPN,Kamakura,1,2013-04-24 00:00:00.000000000,2014-11-26,2014-11-26,581 days 00:00:00,4,Japan,10,-
/organization/17-media,17 Media,http://17.media,missing,10000000.0,operating,missing,missing,1,2015-07-15 00:00:00.000000000,2015-11-05,2015-11-05,113 days 00:00:00,0,Germany,6,-
/organization/170-systems,170 Systems,http://www.170systems.com,Software,14000000.0,acquired,USA,Bedford,1,1990-01-01 00:00:00.000000000,2002-04-16,2002-04-16,4488 days 00:00:00,18,"United States"",""owned_by_organization_id"":""54a1213969702d97c167cb02",2,14100000
/organization/17hats,17hats,https://www.17hats.com,Internet,5250000.0,operating,USA,Los Angeles,2,2014-01-01 00:00:00.000000000,2015-02-18,2015-10-15,413 days 00:00:00,17,United States,31,2679000
/organization/17u-cn,17u.cn,http://www.17u.cn,Travel,84440319.0,operating,CHN,Suzhou,3,2004-01-01 00:00:00.000000000,2008-01-01,2014-02-17,1461 days 00:00:00,0,-,0,-
/organization/17zuoye,17zuoye,http://www.17zuoye.com/,Education|Language Learning,135000000.0,operating,USA,Shanghai,5,2007-01-01 00:00:00.000000000,2011-01-01,2015-02-19,1461 days 00:00:00,280,China,10,336141000
/organization/1871,1871,http://www.1871.com,Designers|Internet|Non Profit|Startups,2500000.0,operating,USA,Chicago,1,2010-09-22 20:46:43.240577680,2014-06-17,2014-06-17,1363 days 03:13:16.759422320,610,United States,19,8553000
/organization/19pay,19pay,http://www.19pay.com.cn,Finance|FinTech,9478511.0,operating,CHN,Beijing,3,2005-01-01 00:00:00.000000000,2006-01-01,2013-07-01,365 days 00:00:00,30,China,2,50000000
/organization/1bib,1bib,http://www.1bib.com,Cars|Curated Web,0.0,closed,CHN,Guangzhou,1,2006-01-01 00:00:00.000000000,2008-02-07,2008-02-07,767 days 00:00:00,0,China,3,-
/organization/1bog,One Block Off the Grid (1BOG),http://1bog.org,Clean Technology|Residential Solar,5000000.0,closed,USA,San Francisco,1,2008-11-01 00:00:00.000000000,2010-02-11,2010-02-11,467 days 00:00:00,91,United States,6,22589000
/organization/1c-company,1C Company,http://1c.ru/eng,Games|Software|Video Games,200000000.0,closed,RUS,Moscow,1,1991-01-01 00:00:00.000000000,2011-10-03,2011-10-03,7580 days 00:00:00,200,Russia,19,10000000
/organization/1calendar,1calendar,http://1calendar.com,Advertising|Education|Internet|Mobile,40000.0,operating,DNK,Copenhagen,1,2009-01-19 00:00:00.000000000,2008-04-04,2008-04-04,-290 days +00:00:00,0,-,2,-
/organization/1cast,1Cast,http://www.1cast.com,Content|Lifestyle|News|Video,0.0,closed,USA,Kirkland,1,2006-06-01 00:00:00.000000000,2008-08-12,2008-08-12,803 days 00:00:00,0,United States,0,-
/organization/1click,1CLICK,http://1click.io,Chat|Mobile,0.0,acquired,IND,Bangalore,1,2012-11-01 00:00:00.000000000,2014-01-26,2014-01-26,451 days 00:00:00,4,India,13,10000000
/organization/1cloudstar-asia,1CloudStar,http://www.1CloudStar.com,Cloud Computing|Content|Digital Media|Enterprise Software|File Sharing|Search,0.0,operating,SGP,Singapore,1,2012-01-01 00:00:00.000000000,2013-08-01,2013-08-01,578 days 00:00:00,17,Singapore,3,848000
/organization/1commmedical,1CommMedical,http://1commmedical.com,Health Care|Insurance|Medical,2500000.0,operating,USA,Ankeny,1,2013-01-01 00:00:00.000000000,2015-04-27,2015-04-27,846 days 00:00:00,100,United States,5,8399000
/organization/1d4-pty,1d4 Pty,http://www.immortaloutdoors.com,Geospatial|Maps|Outdoors,40000.0,operating,NOR,missing,1,2008-07-17 20:46:43.240577680,2012-04-11,2012-04-11,1363 days 03:13:16.759422320,0,Australia,5,-
/organization/1day1song,1Day1Song,http://1day1song.com/,Music Services,0.0,operating,KOR,Seoul,1,2012-12-01 00:00:00.000000000,2013-12-01,2013-12-01,365 days 00:00:00,0,South Korea,2,-
/organization/1daylater,1DayLater,http://1daylater.com,Curated Web|Tracking,43811.0,closed,AUS,Newcastle,2,2009-08-26 00:00:00.000000000,2009-05-01,2009-10-01,-117 days +00:00:00,0,United Kingdom,5,1400000
/organization/1daymakeover,1DayMakeover,http://www.1daymakeover.com,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,50000.0,closed,USA,Santa Ana,1,2008-06-30 00:00:00.000000000,2008-06-30,2008-06-30,0 days 00:00:00,0,United States,3,-
/organization/1doc3,1doc3,http://www.1doc3.com,Health and Wellness|Health Care|Internet|SMS,37639.0,operating,COL,Bogotá,1,2013-11-01 00:00:00.000000000,2014-05-21,2014-05-21,201 days 00:00:00,110,Colombia,15,5000000
/organization/1docway,1DocWay,http://1docway.com,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,1700000.0,acquired,USA,New York,2,2011-02-01 00:00:00.000000000,2011-08-10,2015-07-21,190 days 00:00:00,2,United States,11,1500000
/organization/1energy-systems,1Energy Systems,http://1energysystems.com,Software,1450000.0,operating,USA,Seattle,1,2010-01-01 00:00:00.000000000,2013-04-22,2013-04-22,1207 days 00:00:00,2,United States,13,1000000
/organization/1eq,Babyscripts,http://www.getbabyscripts.com,Health and Wellness|Mobile Health,2100000.0,operating,USA,Washington,3,2013-03-08 00:00:00.000000000,2013-03-11,2015-04-10,3 days 00:00:00,42,United States,21,5000000
/organization/1jiajie,1jiajie,http://www.1jiajie.com,E-Commerce,4163132.0,operating,CHN,Beijing,2,2009-12-07 20:46:43.240577680,2013-09-01,2014-09-16,1363 days 03:13:16.759422320,33,China,6,-
/organization/1lay,1Lay,http://1lay.com,Mobile|Mobile Devices|Mobile Security|Security|Tablets,212000.0,operating,missing,missing,2,2013-07-18 00:00:00.000000000,2014-05-30,2015-11-02,316 days 00:00:00,0,Russia,7,-
/organization/1life-healthcare,1Life Healthcare,http://www.1life.com,Health and Wellness|Health Care|Services,30000000.0,operating,USA,San Francisco,1,2002-01-01 00:00:00.000000000,2013-03-21,2013-03-21,4097 days 00:00:00,1,United States,23,89400000
/organization/1mind,1Mind,http://1mind.com,Social Media,500000.0,operating,USA,Hampton Falls,1,2011-01-01 00:00:00.000000000,2013-08-05,2013-08-05,947 days 00:00:00,13,United States,4,288000
/organization/1mpact-revolution-powering-helpfreely-org,1mpact Revolution - Powering Helpfreely.org,http://www.1mpactrevolution.com,Non Profit|Online Shopping|Social Fundraising,761234.4732,operating,ESP,Las Palmas De Gran Canaria,4,2013-09-01 00:00:00.000000000,2013-09-10,2015-11-01,9 days 00:00:00,2,Spain,6,-
